left_id	left_texts	right_id	right_texts	label
497425	вкладыш книжка нумерация трудовой	482702	бухучет в взять выставка на пробник проводка товар	0
463716	epf больничный оплата по ребенок	497992	аванс в включать по расход усна	0
474811	1 2022 в г март новшество область обязанность охрана работник с с труд учет	479076	заполнение нулевой показатель при рсв	0
497143	график день до за извещение один план	497766	декларация корректировка ндс по правило	0
494803	15 база налоговый ндфл совокупность	497425	в вкладыш второй заводить как книжка трудовой	0
497143	в внесение график и извещение изменение план размещение срок	491181	без для отпуск сзв содержание стаж	0
504622	на ндс оказание проводка с услуга	496976	декларация ооо срок усна	0
491185	в в выход день за как на находиться неполный отпуск отражать по рабочий ребенок сзв стаж уход	504540	исполнительный лист минимум при прожиточный	0
500816	в знак обязанность регистрация система честный	497103	бумажный в вид график ли нужный план	0
497121	график план после срок утверждение	470080	контрагент на проверка самозанятость	0
484859	4 декларация к код ндс операция по раздел расшифровка	497969	к ну при принимать расход усна	0
501843	аренда договор на оказание по услуга	502336	земля земля на налог продажа	0
465717	3 в гособоронзаказ документ игк ли мало млн нужно писать рубль	479145	4 5 таблица форма фсс	0
482476	возмещение госпошлина по суд	497498	директор мобилизация	0
501334	об остаток отчет по прослеживать товар	499816	рыбный сельхозтоваропроизводитель хозяйство	0
478798	аванс мочь на не принимать счет фактура	497771	декларация ли надо ндс нулевой по сдавать	0
502544	больничный инвалид лист расчет	497425	в вкладыш запись книжка о трудовой	0
479106	договор на по работа сотрудник устройство ученический	430837	двойной налогообложение при усна устранение	0
502521	алименты вычет кто на ндфл платить по ребенок	504540	2022 год кемеровский минимум область прожиточный	0
497096	в внесение график изменение о план постановление правительство	484859	34 в декларация код ндс отражение	0
497427	два за какой книжка наказание оформление трудовой	474811	2022 изменение охрана по с труд	0
479780	и ипать кассовый книга на ордер патент приходный расходный	511400	автомобиль в легковой лист месяц путевой раз	0
495741	2023 в взнос год для и и ипать налог отчетность сдача срок уплата	471590	2 26 7 о применение уведомление усна	0
485614	декларация на налог по при прибыль присоединение	497096	выполнение график календарный план работа	0
501058	за компенсация ндфл неиспользованный отпуск	483730	2022 9 за изменяться ли месяц сзв тд форма	0
501393	для на некоммерческий организация политика усно учетный	497538	иностранец книжка трудовой	0
497143	график закупка план после размещать утверждение	497096	2020 год график закупка на план размещение	0
497104	в график закупка не план способ указываться	493406	в как контракт о отражать расторжение реестр соглашение	0
494804	15 вид для доход ндфл обложение по ставка	497136	в график нацпроект план рамка формирование	0
497143	аукцион в внесение график извещение изменение план после публикация срок электронный	497425	в вкладыш выдача книжка надпись о трудовой	0
497766	и ндс по прибывать уточненка	402433	быть возмещать если как не подотчет расход сотрудник	0
497104	график документ дополнительный крепить ли нужно план при публикация	497860	алименты выплата исполнительный лист по	0
497766	декларация заполнение ндс по уточнять	496725	больничный в дневной заработок лист средний строка	0
476458	документ доставка накладной считаться транспортный экспресс	494342	выставка и конференция на расход	0
464865	25 вносить на октябрь с сведение удаленке	497096	2020 в год график на план сгозы	0
496725	болезнь больничный в день исключать ли нужно период при расчет расчетный	501392	и патент политика торговля усна учетный	0
497143	в внесение график заключать изменение когда коммунальный контракт можно на план после услуга	497121	2021 год график когда на план публиковать	0
497538	гражданин иностранный как книжка на оформляться трудовой	498821	1 алый за кварт налог срок уплата усна	0
497143	график извещение первый план после публикация размещение	500310	аренда как обеспечительный платеж по учитывать	0
497478	заверение книжка копия трудовой	497096	1 2019 год график изменение октябрь план с	0
497986	без доход ипать минус расход сотрудник усна	479778	кассовый книга на патент	0
467491	бухгалтерия в работа регламент	499887	давать ниокрый положительный результат	0
475600	2022 заполнение и мероприятие образец охрана план по труд улучшение условие	497478	2022 в год заверение книжка трудовой	0
497121	44 график план размещение срок фз	497860	алименты б л с	0
497132	44 график нулевой план по фз	496664	аренда в взять объект ремонт	0
467662	взыскание заявление исковой о штраф	494804	15 доход миллион ндфл свыше	0
500310	арендодатель бу в обеспечительный отражение платеж	466010	2 кс хозспособ	0
464865	30 на перевод удаленка	503982	2022 доход минус налоговый расход ставка усна	0
479106	договор с самозанимать ученический	482698	в выставка для договор образец письмо расторжение участие	0
497112	2020 год график на план федерал формирование	494342	выставка коронавирус мэр по по указ	0
466032	2 3 в кс кс отчетный период	497766	декларация к корректировка ндс уменьшение	0
474811	2022 изменение охрана по труд	511400	2021 действие лист путевой срок	0
497766	ндс период по подача уточненка	497104	2020 график документ к какой кренить план	0
502544	больничный инвалидность как при присвоение рассчитать	497139	2020 в внесение год график изменение на о план приказ	0
470080	или контрагент на покупатель поставщик проверка сделка чистота	497477	бумажный в ведение книжка трудовой форма	0
497143	в график закупка извещение название план предмет	497986	2022 год доход за ипать минус расход усна	0
503982	доход минус мурманский область расход ставка усна	482207	15 2 33 коап ст ч	0
473277	имущество ипать на на налог у усно	497121	2020 график когда на план размещать	0
497123	график дата и опубликование план утверждение	491181	в за отпуск свой сзв стаж счет	0
464864	на отчет перевести по работа сотрудник удаленный	497771	бланк декларация ндс нулевой по	0
497503	в в договор мобилизация отражать при приостановление с связь табель что	500554	закон иркутский налог о область транспортный	0
496887	07 1 14 2 2022 263 от пп ст фз фз	496996	апелляция в доверенность на участие	0
512461	енп или платежок уведомление	476456	заполнение накладная по рекомендация транспортный	0
505883	больничный как определять пособие предельный размер	497969	15 наличный по подтверждение расход расчет усна	0
470080	контрагент проверка способ	498812	давность задолженность исковой истекший кредиторский с списание срок	0
507898	арендовать асфальт возле здание на расход ремонт усна	502544	больничный день инвалид полагать сколько сотрудник	0
497766	в корректировка ндс сальдо учет	497143	в график день изменение один план	0
497992	аванс авансовый доход если к ли нужно платеж платить по расход уменьшение усна	498821	6 для доход ипать налог от срок уплата усна	0
497997	в на расход страхование усна	497866	алименты вредность за молоко	0
500310	1с в как обеспечительный платеж получение проводить	478798	аванс на оплата предварительный прописывать счет фактура	0
464864	2021 куда от отчет сдавать удаленке	494803	15 выплата дивиденд ндфл при	0
497138	вносить график изменение план	479076	нулевой рсв	0
497427	восстановительный как книжка оформлять трудовой	497109	график детализировать план	0
500814	маркировка товар	497121	график день ждать план после публикация сколько	0
500310	на обеспечительный платеж площадка	498599	на налог расход спорт	0
482873	01 2021 июль с счет услуга фактура	511117	в военнослужащий днр и лнр размер суточные	0
481751	во воинский год с сколько снятие учет	444169	заработный из об плата подотчетный приказ сумма удержание	0
465717	в документ игк номер эдо	503720	2022 взнос за ипать пфр размер страховой	0
2866	внесение график изменение план после размещение срок	466031	2 3 n n выполнение заполнение и кс кс не предусматривать при работа сила собственный строительный форма	0
466769	мониторинг налоговый срок	496664	арендовать машина ремонт	0
501392	2022 доход и патент политика усна учетный	497138	в вносить график день до за изменение или календарный необходимо один план рабочий то	0
506804	2023 в м сзв	497101	ведение график план порядок утверждение	0
463717	больничный в если за отпуск по пойти ребенок сотрудница уход	497096	график план предприятие унитарный формирование	0
501997	патент расчет	497503	в мобилизация по по сотрудник ставить табель что	0
496736	в декларация октмо усна	497997	как кредит сбербанк страхование усна учитывать	0
501009	2022 за на перечень сбор упаковка экологический	467989	в дочерний к компания материнский присоединение реорганизация форма	0
486122	за ипать касса надо оплачивать организация платежный по поручение пробивать услуга чек	487406	белорус в взнос выплата страховой	0
497112	на основание план0график утверждать что	497101	ведение график план порядок	0
481244	вычет обучение ребенок	462637	выставлять претензия	0
497133	график закрывать закупка из план судно число	494850	взнос на расход страховой усна	0
470080	контрагент на покупатель проверка сделка чистота	496372	банкротство доверенность	0
470080	банкротство контрагент на проверка	497138	график изменение план	0
479039	вносить заем ли можно на расчетный сразу счет учредитель	511400	2021года лист месяц на новый образец путевой	0
498785	дебиторский за задолженность прибыль приказ списание счет	496791	больничный лист максимальный размер	0
507486	3 криптовалюта ндфл по с сделка	497142	график когда контракт план после прохождение размещать	0
498811	задолженность кредиторский на приказ проводка списание	497121	график до заключение контракт от план срок	0
496964	для ипать налог образец платежка по усна	501058	компенсация ндфл при с срок увольнение уплата	0
497427	книжка основной оформление работа становиться трудовой	497143	в график закупка какой можно осуществлять план после публикация срок	0
497121	в график закупка какой план срок утверждаться	502840	2023 в взнос год за ипать на омс себя страхование	0
498812	безнадежный в декларация задолженность какой кредиторский на отражаться прибыль списание строка	497143	в вносить график изменение можно план раз сколько	0
497766	как ндс оформлять по уточненка	496372	банкротство в доверенность на представление	0
497119	в в график закупка информация какой план проведение случай указываться централизованный	497766	декларация ндс предоставление уточнять	0
467491	бухгалтерия в отдел регламент	493407	44 в внесение договор контракт о по реестр сведение фз	0
473277	6 для имущество ипать на на налог усна	496731	офр правило составление	0
418129	за компенсация ндфл неиспользованный отпуск при с увольнение	497114	в график как контрактный план прописывать работа регламент служба	0
498821	доход налог срок уплата усна	479778	как кассовый книга оформляться	0
491512	93 заключение извещение контракт ли нужно по размещать ст	2866	в график изменение план срок	0
496725	больничный быть в исключать ли лист нужно период период расчетный этот	497142	2021 год график как план размещать	0
496783	1 2 в год декларация есхн по прошлый раздел убыток	500310	d обеспечительный платеж таможня	0
465717	в гоз договор игк	497121	44 бюджетный график лимит обязательство план по после размещение снятие срок фз	0
497101	ведение график план правило	497427	восстановительный как книжка оформлять трудовой	0
497103	бумажный график на носитель нужноутверживать план	498598	взнос с спорт страховой услуга	0
486122	ипать касса место регистрация смена	497425	в вкладыш книжка покупка трудовой	0
497101	ведение график и план правило утверждение формирование	464139	без день заработный отпуск отпускной плата при расчет сохранение	0
497104	2021 2022 2023 график и на план плановый	467662	взыскание заявление и исковой о пеня штраф	0
497503	в документ и какой мобилизация по при ставить табель увольнение что	479778	кассовый книга учет	0
482702	бухучет в выставка по продвижение продукция участие	497143	график изменение основание план	0
478798	аванс на наименование от поставщик счет товар фактура	497124	год график заказчик ли на обязанный план три утверждать	0
474597	естественный материал норма строительный убыль	496662	квартира на ндфл расход ремонт	0
501009	в входить ли по расход сбор усна экологический	464865	30 сотрудник удаленный	0
505069	доход к как минус налог расход расчитывать уплата усна	494803	15 за какой ндфл работник с у	0
497143	8 9 в в в внесение график день день до единый за извещение изменение информационный мочь настоящий не об один осуществляться план поздно размещение с система соответствие статья часть чем	494428	зачет заявление на налог образец переплата по	0
483732	2022 3 4 за квартал фсс	462637	от по покупатель претензия расход	0
497425	бланк вкладыш к как книжка трудовой утилизировать	496725	больничный для дневной за заработок период расчетный сотрудница средний	0
497425	вкладыш выдавать к как книжка трудовой	497101	2020 2021 в график на план план формирование	0
497121	график делать извещение план после сколько через	501997	на патент псн расчет стоимость	0
497766	декларация к корректировочный ндс по уменьшение	497148	44 в график закупка особый план по фз	0
481245	вычет ндфл спортзал	496996	в для доверенность процесс судебный участие	0
497503	в договор как мобилизация отмечать при приостановление табель трудовой	497104	в график источник план указывать финансирование	0
467989	в договор как присоединение присоединение проводить реорганизация форма	500310	договор обеспечительный платеж по	0
502336	земельный ли ндлф нужно платить при продажа участок	497133	график для закрытый план процедура	0
500816	в знак торговля честный	496915	в вноситься договор запись книжка ли при приостановление трудовой трудовой	0
475600	2022 и мероприятие охрана план по труд улучшение условие	483734	2022 3 декларация единый квартал упрощенный	0
478798	аванс заполнение на правило счет фактура	497123	бумажный график ли на носитель нужно план утверждать	0
497096	2016 год график план	497104	график должный план содержать	0
497118	график лимит план после размещение утверждение	480225	декларация единый ли на налоговый нужно переход подавать счет	0
498599	в и культура налогообложение область спорт физический	501033	работа работник разъездной у характер	0
482207	4 5 коап ст	497427	банк для как книжка оформлять трудовой	0
482207	15 25 коап ст	505069	доход минус пример расход усна	0
497496	армия в если на призывать служба	497496	армия в если сотрудник уходить	1
502336	доход земельный на налог продажа участок физлицо	497425	в вкладыш должный книжка кто купить трудовой	0
497538	для иностранец книжка трудовой	474811	2022 в на охрана предприятие труд	0
496791	2022 больничный в год лист максимальный оплата по пособие размер	504622	ндс при проводка реализация с услуга	0
500554	закон налог о спб транспортный	511400	автомобиль легковой лист месяц на один путевой	0
500239	2018 25 аренда движение денежный о отчет средство фсба	496996	апк доверенность	0
484859	декларация код ндс по посредник	500756	03 2022 26 67 курсовой от разница фз	0
497508	в военный время выплачивать заработок мобилизация на они предприятие прохождение работник с свой связь служба средний	495741	2023 взнос год за ипать себя	0
467645	взыскивать неустойка расчет	474597	бензин естественный норма убыль	0
502209	1 день или командировка нет оплачивать	483732	2022 3 4 за квартал отчет фсс	0
481245	вычет за фитнес	479778	кассовый книга по точка	0
498720	11 1210 15 2022 мчс от распоряжение	500239	движение денежный о отчет средство фсба	0
500554	московский налог область транспортный	497138	в внесение график изменение изменение нмцк план при	0
500310	223 госзакупки для кбк обеспечительный платеж при фз	42550	за назначение о образец по пособие приказ ребенок уход	0
501389	малый политика предприятие усно учетный	497771	декларация ндс нужно нулевой по сдавать	0
464865	30 для как на перевод сотрудник считать удаленка	491183	140 больничный день сзв стаж	0
497143	44 в внесение график изменение план срок фз	465392	2019 в вычет декретник на ребенок	0
497117	в вид график код план расход	501843	аренда договор заключение порядок	0
498598	взнос занятие компенсация спорт страховой	465392	быть в вычет декрет если на ребенок сотрудник	0
494805	15 ндфл платежный по поручение	467989	в о образец присоединение реорганизация уведомление форма	0
494805	15 ндфл образец платеж	497425	в вкладыш книжка сотрудник трудовой	0
497221	2021 взнос год ипать на обязательный оплата срок фиксировать	497766	ндс перечисление по расчет уточнять	0
453184	имущество муниципальный осаго страхование усна	497425	вкладыш во к книжка нумерация трудовой	0
496791	больничный для лист размер ставка	497117	в график детализация и кбк квр план	0
482207	13 19 7 коап ст	497771	2020 4 декларация за квартал ндс нулевой по состав	0
496725	больничный в день для календарный период расчетный число	497858	аванс алименты выплачивать если	0
501393	2022 для некоммерческий организация политика усна учетный	494805	15 выплата дивиденд кбк ндфл с	0
497496	21 мобилизация с сентябрь частичный	497138	в в вносить год график изменение план следующий	0
465717	государственный договор идентификатор контракт наличие при соглашение	497863	алименты заработный и отпускной плата с удерживать	0
467023	даваться за когда отпуск свой счет	497132	график нулевой план публикация	0
497769	восстановление декларация заполнение ндс по правило	476782	и продукция сертификат сертификация тарный	0
497986	документ доход ипать минус на расход усна хранение	497096	2021 44 год график заполнение на план по порядок фз	0
496963	оплата усна	497772	декларация ли надо ндс освобождение от при сдавать уплата	0
465717	для договор игк основание передача с указывать	401654	больничный взнос ли начислять нужно с страховой	0
471765	инструктаж первичный противопожарный	476746	10 ндс со список ставка товар	0
494850	взнос по расход усна	466030	2 3 к кс кс оформление требование	0
464139	без ежегодный как отпуск отпуск период предоставление при сохранение учитывать	497858	аванс алименты выплата когда платить	0
479039	заем компания на оборотный пополнение средство учредитель	497986	доход ипать минус при расход расход усна	0
479778	доход кассовый книга на усна	497101	44 ведение график план по фз	0
498785	дебиторский задолженность на образец приказ списание	498785	дебиторский задолженность неподтвержденный приказ списание	1
495443	2023 генератор год для на налогообложение политика учетный	497096	график к план правительство российский требование устанавливаться федерация форма	0
490582	2 3 в дата какой кс кс ставить	496974	1кв 2022 за ипать срок уплата уплата усна	0
491501	график единственный закупка план поставщик у	497136	2020 график нацрежим план	0
497425	в вкладыш выдача книжка надпись при трудовой	497425	в вкладыш кк книжка оформлять трудовой	1
496736	2022 декларация усна	434427	1 день длительность командировка	0
497139	в внесение график закупка изменение ли надо оформлять план приказ	501762	больничный лист оплата пилотный при проект срок	0
497427	книжка трудовой	486122	дошкольный ипать касса образовательный обучение	0
497132	без выделение график денежный план создание средство	497770	декларация за какой ндс не по подача штраф	0
491512	единственный закупка извещение о поставщик у	493393	в единственный заносить ли нужно по поставщик реестр свет	0
496725	дневной заполнение заработок листок нетрудоспособность средний	476834	восстановление вычет к ндс принимать путь ранее расчетный	0
501389	малый политика предприятие торговля усна учетный	497769	в восстанавливать декларация как ндс	0
497142	2021 год график закупка как на план сформировывать	491512	единственный закупка обоснование поставщик товар у	0
477230	54 в изменение фз	473277	для имущество индивидуальный на на налог предприниматель усна	0
