FastAnswId	ShortAnswer
487305	Заявление о прекращении деятельности на патенте подают в течение 10 календарных дней с даты, когда прекратили деятельность (п. 8 ст. 346.45 НК).Сделать это можнона бумаге или в электронном виде. Форма заявления утверждена приказом ФНС от 04.12.2020 № КЧ-7-3/882, формат – приказом от 18.01.2021 № ЕД-7-3/11.
506978	Декларация поформе 3-НДФЛ нужна гражданину вдвух случаях. Первый— когда гражданин платит налог сполученных имдоходов самостоятельно без участия работодателя. Второй— гражданин хочет частично или полностью возместить избюджета сумму уплаченного налога изаявить вычет. Изрекомендации выузнаете, как правильно заполнить декларацию иотправить винспекцию.
507302	Издать приказ на увольнение и подписать его можно как в последний рабочий день сотрудника, так и заранее. Никаких ограничений на этот счет в законе нет. Однако закон не установил возможность издавать приказ об увольнении позже даты увольнения (апелляционное определение Алтайского краевого суда от 26.11.2013 № 33-9680/2013).
447652	Любой договор, который заключили по правилам Гражданского кодекса, признается гражданско-правовым. В справочнике – формы с физлицами на выполнение работ и оказание услуг.
425501	Допустимо продлить срок рассмотрения микротравмы на два календарных дня, например, если пострадавший работник не успел дать объяснения.
9139	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
35615	Покупку чая, кофе, сахара, печенья и конфет для сотрудников можно учесть как расходы на оплату труда, если ведете персонифицированный учет доходов. Затраты на чай, кофе и угощение для клиентов можно учесть в составе представительских расходов, если зафиксировали факт встречи. В бухучете расходы спишите как управленческие или как затраты на продажу. Как оформить и учесть расходы на чай и кофе – в рекомендации.
494368	Компании всфере информационных технологий вправе платить налог наприбыль поставке 0или 3процента, применять пониженные тарифы страховых взносов инеплатить НДС при продаже ПО. Чтобы применить эти льготы иосвобождение, нужно соблюсти определенные условия. Читайте врекомендации, как получить аккредитацию ИТ-компании, какой уровень доходов должен быть для получения льгот.
489003	Полностью освобождены отККТ предприниматели наПСН, если ведут определенные виды деятельности. Например, это ремонт ипошив швейных, меховых икожаных изделий, ремонт, чистка, окраска ипошив обуви, химическая чистка, крашение иуслуги прачечных. Эти виды деятельности освобождены отККТ бессрочно независимо оттого, естьли уИП сотрудники, ипри любых способах оплаты (наличные или безналичные).
501502	Втабеле учета рабочего времени сдельную оплату труда отразите вобщем порядке. При этом вместе стабелем учета рабочего времени посотрудникам нужно вести наряд насдельную оплату, маршрутный лист, ведомость учета выполненных работ идр. Вэтих документах отразите количество икачество выполненной работы, расценки заединицу.
500924	Сумму НДС, принятую квычету сперечисленного аванса, покупатель (заказчик) должен восстановить:после отгрузки продавцом товаров, работ, услуг, имущественных прав, поступивших всчет перечисленного аванса или частичной оплаты;при расторжении или изменении условий договора поставки товаров (работ, услуг, имущественных прав), всчет которого был перечислен аванс;при списании задолженности понеотработанному авансу.
509070	Врекомендации– порядок расчета налоговой базы и суммы налога, правила для дорогих автомобилей, транспорта, которым владели неполный отчетный период, для машин вугоне.
511592	Продавец вправе выдать электронный чек без дублирования на бумаге, только если покупатель самостоятельно выразил желание получить электронный чек и одновременно с этим отказался от чека на бумаге. Если покупатель попросил одновременно с электронным чеком выдать чек на бумаге, продавец обязан это сделать(письма ФНСот 25.07.2022 № АБ-4-20/9533@,от 24.03.2022 № АБ-3-20/2677@).
417327	Законодательствомустановлены два вида затрат, которые допустимо отражать в составе РБП:расходы, которые понесены в связи с предстоящими работами. Например, в рамках строительствазаранее приобретают материалы(п. 16 ПБУ 2/2008);фиксированные разовые платежиза право использования результатов интеллектуальной деятельности(п. 39 ПБУ 14/2007). Например,перечисления за неисключительное право на использованиепрограммы для ЭВМ, изобретения, фирменного наименования и т. п. (ст. 1225 ГК).
426121	Сервис поможет определить перечень видов помощи, которая полагается организации или ИП из-за санкций.Введите ИНН компании или предпринимателя, чтобы узнать конкретные меры поддержки.
503167	Граждане и ИП вправе зарегистрироваться в качестве плательщика налога на профдоход с любой даты. Дата постановки на учет по этому основанию – дата, когда сформировали и направили заявление через мобильное приложение, кабинет налогоплательщика «Мой налог»на сайте npd.nalog.ru, портал госуслуг или банк (п. 10 ст. 5 Закона от 27.11.2018 № 422-ФЗ).
502335	Выбытие земельного участка объектом обложения НДС непризнают (подп.6п.2ст.146НК). Например, при продаже, безвозмездной передаче, вкладе в уставный капитал, принудительном изъятиигосударством. Ссуммы компенсации, полученной при изъятии земли, НДС неплатите. При реализации и ином выбытии земли счета-фактуры не выставляйте.Выбытие земли отразите вразделе 7декларации поНДС.
467095	Чтобы возместить расходы настоимость ПЦР теста или на антитела к COVID-19, подайте в ФССзаявление о финансировании, план, копию перечня мероприятий по улучшению условий труда. Приложите копию списка работников,направленныхна анализ,копию договора с медорганизацией,расшифровку стоимости на 1 работника,сведения о лицензии медорганизации,допуск к проведению обследований на COVID-19,копию удостоверения натесты(подп. «д» п. 6 Правил, утв. приказом Минтруда от 14.07.2021 № 467н).
499635	Перевод возможен с письменного согласия сотрудника, за исключением случаев, когда такое согласие не требуется. Закон не предусматривает каких-либо ограничений на изменение условий трудового договора в период временной нетрудоспособности сотрудника. Поэтому оформить перевод, если сотрудник согласен, можно даже в период его болезни, но с учетом требований к документальному оформлению перевода (ст. 72.1 ТК).
511776	Нулевой 6-НДФЛ не представляйте. Расчет представляют все налоговые агенты. Но раз организация или ИП не начисляли и не выдавали деньги физлицам, то статуса у них такого нет и расчет 6-НДФЛ, в том числе нулевой, им представлять в инспекцию не нужно.
473472	Подействующим нормамНК налогоплательщики взависимости отстатуса иприменяемой системы налогообложения посделкам купли-продажи актива должны платить НДФЛ, налог наприбыль, УСН или ЕСХН. Правила, которые вступили всилу с14июля 2022 года иурегулировали порядок налогообложения операций с цифровыми финансовыми активами (ЦФА) и утилитарными цифровыми правами (УЦП)ккриптовалютенеприменяются (Закон от14.07.2022 №324-ФЗ). Но официальной позиции Минфина и ФНС по данному вопросу пока нет.
19200	Рентабельность инвестированного капитала (Return On Invested Capital, ROIC), или рентабельность капитала (Return On Capital, ROC), показывает, сколько прибыли приносит предприятию 1 руб. собственных и долгосрочных заемных средств.
394648	В Системе есть обзоры изменений законодательства по каждому из 86 субъектов РФ. Они составляютсяежемесячно. Смотрите обзоры за любой период по вашему региону.
449563	Если контрагент не уплатил в бюджет НДС, попросите его это сделать как можно скорее. Тогда налоговая не станет проверять контрагента и проводить у вас встречную проверку. Если налоговики уже сняли вычеты, остается обжаловать акт налоговой. Потребуется доказать, что сделка реальная, а не оформлена на бумаге. Также нужно привести доказательства того, что вы не знали о нечестном поведении контрагента. Если удастся, суд признает действия налоговой неправомерными и вернет компании пени и штрафы.
479033	Регистрироваться в системе ЕГАИС обязаны производители алкоголя, организации, которые участвуют в обороте алкоголя, предприниматели-закупщики пивадля розницы и другие участники алкогольного рынка. Полный перечень ниже.
502168	Выдаютли в вашем регионе патент наоказание гостиничных услуг, смотрите взаконе субъекта. Вперечне видов деятельности изпункта2статьи346.43НК таких услуг нет, ноэтот список приблизительный иоткрытый. Регионы могут добавить любые виды деятельности изОКВЭД2 иОКПД2 (подп.2п.8ст.346.43НК). ПоОКВЭД2 гостиничные услуги относятся ккоду 55«Деятельность попредоставлению мест для временного проживания».
454109	Договоры, первичные идругие документыИП может заверять нетолько подписью, ноипечатью. Если ИПпринял решение использовать печать, он составляет приказ впроизвольной форме, знакомит сприказом сотрудников. Чтобы уведомить контрагентов ибанк, составьтеписьмо впроизвольной форме. Вписьме можно указать, скакого времени применяется печать ичто после этой даты документы без печати недолжны приниматься вработу. Ихнужно вернутьИП для дооформления. 
493069	Перечисляйте НДФЛ вбюджет поместу постановки организации научет. Когда речь идет одоходах погражданско-правовым договорам, которые заключило обособленное подразделение, НДФЛ перечисляйте пореквизитам налоговой инспекции, где это подразделение зарегистрировано. Такой порядок предусмотрен пунктом7статьи226НК.
454987	Трудовым кодексом не установлено ограничение по режиму рабочего времени для специалиста по охране труда.Работодатель можетпринять на работуспециалиста и установить работникурежим неполного рабочего времени.
453366	Работник может обжаловать результаты СОУТ на его рабочем месте. Такое право указано в подпункте 1пункта 1 статьи 5 Закона. В этом случае оформите заявление о несогласии с материалами СОУТ. Подпишите его с работником, который не согласен с результатами. Приложите заявление к отчету о проведении СОУТ.
501841	Нет, не нужно размещать в ЕИС закупку аренды по 223-ФЗ, но только когда закупаете аренду недвижимости (п. 3 ч. 15 ст. 4 Закона №223-ФЗ).Еслизакупаете арендудвижимого имущества, напримероборудования, то нужно разместитьсведения о закупке в ЕИС(ч. 2 ст. 2 Закона №223-ФЗ).
432858	Работодатель обязан возместить сотруднику расходы, связанные с командировкой:суточные и иные командировочные расходы, в частности, расходы на проезд, найм жилого помещения и другиерасходы, произведенныес разрешения или ведома администрации организации. В рекомендации – какие расходы нужно возместить сотруднику, в каком размере и как их учесть при расчете налогов. Бухгалтерский учет командировочных расходов смотрите в другой рекомендации.
480026	Все организации должны соблюдать порядок ведения кассовых операций. Одно из правил – поддерживать лимит остатка кассы. Это означает, что наличные деньги организации могут хранить в кассе только в пределах определенной суммы. В рекомендации – кто должен соблюдать лимит кассы, как его определить и какие штрафы грозят тем, кто превысит лимит.
485418	Сотрудникам, которые работают во вредных условиях, положено молоко или другие равноценные продукты. Тем, кто работает в особо вредных условиях, нужно предоставить лечебно-профилактическое питание.В рекомендации – кому и что положено, сколько надо выдать, можно ли заменить компенсацией, а также как оформить и отразить в учете.
497524	Срок исковой давности по иску о признании договора незаключенным течет с момента, когда истец узнал или, действуя разумно и с учетом складывающихся отношений сторон, должен был узнать о нарушении своего права (п. 5 информационного письма Президиума ВАС от 25.02.2014 № 165 «Обзор судебной практики по спорам, связанным с признанием договоров незаключенными»).
501396	Торговые организации и ИП на упрощенке, кроме общих положений и правил учета при объекте «доходы» или «доходы минус расходы», вправе указать в учетной политике особенности своей деятельности. Пропишите порядок учета товаров и торговой наценки, метод списания себестоимости проданных товаров, правила учета расходов на продажу и учета тары и упаковки, порядок проведения инвентаризации и т. д. Выбор вариантов зависит от того, как торгует организация – оптом или в розницу.
480726	Вуказании№ 3210-У не сказано, на какой период нужно устанавливать лимит кассы. Следовательно, руководитель может устанавливать и пересматривать лимит остатка кассы на месяц, квартал, год или другой разумный срок. Например, изменение объема поступлений наличной выручки или объема выдачи наличных денег может быть основанием для очередного пересмотра лимита кассового остатка. Аналогичные разъяснения в письме ЦБ от 15.02.2012 № 36-3/25.
480142	Положительное сальдо ЕНС признают деньгами налогоплательщика, и он вправе ими распоряжаться.Переплату можно вернуть по заявлению, направить в счет исполнения предстоящих обязательств или оставить на ЕНС до возникновения новых обязательств (ст. 79 НК). Форма заявления на возврат утвержденаприказомФНСот 30.11.2022 № ЕД-7-8/1133@.Заявление на возврат переплаты нужно отправить в электронном виде по ТКС или через личный кабинет налогоплательщика.
486534	Когда сотрудник выйдет на работу после мобилизации, издайте приказ о возобновлении работы и окончании срока приостановления действия трудового договора с сотрудником. Приказ будет основанием, чтобы допустить сотрудника до рабочего места и начислять зарплату в общем порядке.
500827	Эксперимент помаркировке медицинских кресел-колясок завершен. С1февраля 2023 года начнут внедрять обязательную маркировку изделий под кодами:ТНВЭД ЕАЭС 8713.10.2000 0, 8713.90.2000 0;ОКПД 2 30.92.20.
504540	Узнать величину прожиточного минимума можно на официальных сайтах администраций соответствующего субъекта. Такой порядок установили в статье 133 Трудового кодекса и статьях 4 и 7 Закона от 24.10.1997 № 134-ФЗ.Величину прожиточного минимума в каждом субъекте в 2022 году смотрите в таблице. Прожиточный минимум на 2023 год по субъектам утвердят до 31 декабря 2022 года (постановление Правительства от 24.11.2022 № 2135).
507109	Для выдачи СТД-Р сотруднику установлены два срока. Первый— вдень прекращения трудового договора. Второй— впериод работы ворганизации по заявлению работника непозднее трех рабочих дней содня подачи этого заявления (ст.66.1ТК).
508310	Продавец должен исчислить НДС с аванса в день его получения от покупателя.Покупатель вправе принять к вычету НДС, перечисленный продавцу, поставщику, исполнителю в составе аванса или частичной оплаты. Принять вычет можно, если соблюден ряд условий, и если покупатель не использует освобождение от уплаты НДС. В рекомендации –когда продавец исчисляет налог, как его рассчитывать,как выставить счет-фактуру и применить вычет.
467751	С 2023 года надоперечислять на единый счет и в единые сроки все налоги, в том числе и НДФЛ. Ниже –что еще меняется по НДФЛ и как поправки повлияют на вашу работу.
41171	В справочнике все приказы по учету основных средств: постановка на учет, списание, создание комиссии по списанию ОС, о ликвидации, консервации, модернизации, установлении срока полезного использования и другие. Скачать приказы:
453359	Проведите спецоценку для офисных работников по установленному порядку. Чтобы организовать спецоценку:утвердите состав комиссии по проведению СОУТ и график ее проведения;составьте список рабочих мест для оценки;выберите аккредитованную организацию и заключите с ней договор;подпишите отчет по результатам спецоценки;разместите результаты спецоценки на своем сайте;сообщите в ФСС о результатах;ознакомьте работников с результатами;подайте декларацию в инспекцию труда.
507307	Если сотрудник и его должность указаны в приказе об увольнении, то указанный документ связан с работой данного сотрудника. Поэтому работодатель обязан выдать копию приказа об увольнении сотруднику (ст. 62 ТК).
484733	Сведения по требованию военкомата. По запросу военкомата направляйте сведения о работниках, которые состоят на воинском учете и не состоят, но обязаны состоять. Форму сведений разработал Генштаб (приложение 10 к Методическим рекомендациям). Срок – две недели со дня, когда получили запрос (подп. «б» п. 29 Методических рекомендаций).
419788	Cрок выплаты отпускных – не позднее чем за три полных календарных дня до начала отпуска. Предельный срок выплаты отпускных отсчитывайте исходя изкалендарных дней.Если окончание срока выпадает навыходнойили нерабочий праздничный день, выплатить отпускные нужно накануне – в последний рабочий день.Но в Трудовом кодексе не запрещено выплачивать отпускные раньше (ч. 9 ст. 136 ТК).
506783	Стоимость подарков кпраздникам июбилеям невключайте врасходы, которые учитывают при налогообложении прибыли. Исключение— поощрение затруд ввиде подарка (п.16ст.270НК, письма Минфина от24.04.2015 №03-03-06/1/23695, от02.06.2014 №03-03-06/2/26291, от08.10.2012 №03-03-06/1/523).
505746	Единовременная матпомощь в связи со смертью не облагается НДФЛ в любом размере, если ее платятчленам семьи умершего сотрудника или бывшего сотрудника-пенсионера, а также работнику, бывшему работнику, вышедшему на пенсию, в связи со смертью члена (членов) его семьи (п. 8 ст. 217 НК).
495438	Типовой формы документа законодательством не предусмотрено. Поэтому работодатель и сотрудники могут заключить его в произвольной письменной форме (ч. 1 ст. 41 ТК РФ). При составлении договора в качестве шаблона можно использовать макет коллективного договора, который утвердил Минтруд России 6 ноября 2003 года. Макет носит рекомендательный характер.
463794	Продавец вправе использовать унифицированную форму товарной накладной или свою форму. В рекомендации – порядок оформления накладной, как доработать под свои требования. Когда вместо накладной можно выставить УПД. Какие реквизиты относятся к обязательным, а ошибки – к существенным. Также смотрите, как оформить накладную при транзитной торговле или возврате товара.
411236	В расчете6-НДФЛ отразите зарплату, которуюначислилии фактически выплатили физлицуна дату представления расчета.Невыплаченную зарплату в отчет не включайте.Не важно, по какой причине не выплатили доход – из-за ошибки илив связи с финансовыми трудностями.
465026	Чтобы рассчитать НМЦК, используйте методы: анализа рынка, нормативный, тарифный, проектно-сметный, затратный. Когда количество товаров, объем работ или услуг определить невозможно, рассчитайте начальную цену за единицу, начальную сумму цен и максимальное значение цены контракта. Читайте, в каких случаях применять каждый из способов расчета.
495742	НаПСН годовой доход для пенсионных взносовИП считайте поправилам статей 346.47 и 346.51НК (подп.5п.9ст.430НК). Берите потенциально возможный годовой доход попатенту ИП. Реальные доходы напатенте невлияют насумму страховых взносов заИП (письмо Минфина от24.12.2021 №03-11-11/105701). Расходы при расчете облагаемой базы неучитывайте.
508932	Упрощенщик не обязан выставлять покупателю счет-фактуру с НДС. Но по собственной инициативе или по просьбе контрагента продавец на упрощенке может выставить счет-фактуру с выделенной суммой НДС. Этот налог нужно перечислить в бюджет (п. 5 ст. 173 НК). Кроме того, придется сдать декларацию по НДС (п. 5 ст. 174 НК). При этом покупатель вправе принять по такому счету-фактуре НДС к вычету (письма Минфина от 23.01.2020 № 24-01-08/3874, от 02.11.2017 № 03-07-07/72269, от 19.05.2016 № 03-07-14/28647).
490290	Надиректора-совместителя заполните СЗВ-ТД. Сведения поформе СЗВ-ТД сдают все работодатели. Сведения подают втом числе насовместителей— как внешних, так ивнутренних (п.1.4Порядка, утв. постановлением Правления ПФР от25.12.2019 №730п). При заполнении СЗВ-ТД вграфе 5нужно указать, что директор трудится посовместительству (письмо ПФР от05.03.2020 № В-6181-19/10665-20). Как заполнить СЗВ-ТД насовместителей— в рекомендации.
430247	Сравнение основных положений ПБУ 5/01 «Учет материально-производственных запасов» и ФСБУ 5/2019 «Запасы» смотрите в таблице. Что важно не упустить при учете материалов, товаров, незавершенного производства и готовой продукции по новым правилам, сверьте по чек-листу по учету запасов.Ниже можно скачать памятку с контрольными точками для учета запасов по новым правилам.
431654	Организуйте тренировки персонала по эвакуации на объектах, где находится больше 50 человек. Тренировки проводят не реже одного раза в полугодие (п. 9 ППР).Тренировки персонала по эвакуации обучат работников быстро эвакуироваться в соответствии с планом эвакуации и пользоваться огнетушителями.
463012	Работодатель сам определяет форму протокола проверки знания требований охраны труда. В протоколе указывают 9 обязательных полей для заполнения изпункта 92 Порядка обучения № 2464.В протокол можно добавить столбец, строкупо виду проверки:плановая или внеплановая. Протокол проверки знания по Порядку обучения № 1/29, смотрите в предыдущей редакции.
